Date,Open,High,Low,Close,Volume
10/15/2014,59.58,59.87,58.32,59.6199,28966
10/16/2014,59.258,60.09,59.16,59.71,12579
10/17/2014,60.75,60.84,60.44,60.4801,47893
10/20/2014,60.69,61.13,60.69,61.13,1607
10/21/2014,61.79,62.1896,61.7558,62.1896,4760
10/22/2014,62.34,62.42,61.98,61.98,169015
10/23/2014,62.69,62.69,62.46,62.54,816
10/24/2014,62.71,62.8496,62.56,62.8,1849
10/27/2014,62.761,62.85,62.75,62.85,1450
10/28/2014,63.0201,63.0201,63.0201,63.0201,361
10/29/2014,63.17,63.17,63.17,63.17,229
10/30/2014,63.42,63.9,63.39,63.6818,83999
10/31/2014,64.71,64.71,64.37,64.37,34099
11/03/2014,64.75,64.7799,64.52,64.77,31273
11/04/2014,64.19,64.46,64,64.46,1270
11/05/2014,64.5701,64.8599,64.3701,64.8599,2928
11/06/2014,64.88,64.89,64.69,64.89,1041
11/07/2014,65.1,65.1,65.1,65.1,309
11/10/2014,65.3175,65.4,65.3175,65.4,386
11/11/2014,65.3716,65.3716,65.324,65.324,954
11/12/2014,65.19,65.358,65.19,65.358,708
11/14/2014,65.4389,65.47,65.4,65.4399,24456
11/17/2014,65.44,65.44,65.27,65.32,93836
11/19/2014,65.66,65.78,65.5,65.76,115822
11/20/2014,65.65,65.8399,65.5,65.8399,18583
11/21/2014,66.84,66.84,66.26,66.26,16365
11/24/2014,66.53,66.53,66.44,66.44,2958
11/25/2014,66.71,66.71,66.38,66.56,11352
11/26/2014,66.4044,66.4999,66.3,66.3,12748
11/28/2014,66.272,66.272,66,66,1762
12/01/2014,65.531,65.74,65.52,65.6138,1839
12/02/2014,66.03,66.181,66.02,66.181,16511
12/03/2014,66.3877,66.411,66.3877,66.411,695
12/04/2014,66.0801,66.402,66.0801,66.3,3079
12/05/2014,66.49,66.5,66.49,66.5,1207
12/08/2014,66.3,66.3,65.844,65.9348,2101
12/10/2014,65.21,65.21,64.65,64.84,11752
12/11/2014,65.259,65.4401,65.14,65.14,3253
12/12/2014,64.6199,64.6199,64.6199,64.6199,182
12/15/2014,63.27,63.54,63.27,63.54,9545
12/16/2014,63.15,63.15,63.15,63.15,368
12/18/2014,64.978,65.54,64.978,65.54,4493
12/19/2014,66.11,66.207,66.0284,66.207,682
12/22/2014,66.4545,66.5399,66.3,66.5399,923
12/23/2014,66.9971,66.9971,66.9971,66.9971,485
12/24/2014,66.67,66.6799,66.54,66.54,1107
12/26/2014,66.77,66.96,66.73,66.73,77857
12/29/2014,66.82,66.85,66.82,66.8462,2044
12/30/2014,66.59,66.6199,66.5596,66.56,2564
12/31/2014,66.55,66.58,65.95,66.01,20587
01/02/2015,65.3901,65.3901,65.3901,65.3901,280
01/06/2015,64.7899,64.7899,63.74,64.03,963
01/07/2015,64.69,64.69,64.5275,64.54,1734
01/08/2015,65.619,65.849,65.47,65.849,1102866
01/09/2015,65.59,65.59,65.2305,65.2305,2635
01/12/2015,65.22,65.22,64.39,64.55,2376
01/13/2015,65.2662,65.4,63.91,64.37,1107967
01/14/2015,63.64,63.8582,63.09,63.8582,3214
01/15/2015,63.29,63.29,63.29,63.29,400
01/16/2015,63.29,64.135,63.23,64.135,5670
01/20/2015,64.29,64.29,63.67,63.93,1158
01/21/2015,64.2801,64.52,64.25,64.41,2745
01/22/2015,64.7615,64.98,64.58,64.88,211351
01/23/2015,65.434,65.434,65.09,65.09,1754
01/26/2015,64.74,65.02,64.74,64.99,485
01/27/2015,64.43,64.72,64.43,64.72,949
01/28/2015,64.55,64.56,63.4,63.4,6741
01/29/2015,63.49,63.93,63.079,63.93,13915
01/30/2015,63.29,63.29,63.29,63.29,344
02/02/2015,63.3,63.3,63.1099,63.1099,547
02/03/2015,64.4,65.29,64.4,65.29,7565
02/04/2015,65.16,65.468,65.08,65.468,27658
02/05/2015,65.454,65.8,65.42,65.79,3345
02/06/2015,65.99,66.14,65.99,66.0443,583
02/09/2015,65.67,65.67,65.36,65.36,815
02/10/2015,65.67,66.1299,65.49,65.97,6121
02/11/2015,65.896,66.067,65.8,66.067,3662
02/12/2015,66.579,66.72,66.579,66.72,431
02/13/2015,66.9048,67.0099,66.9048,67.0099,409
02/17/2015,67.06,67.18,67.06,67.18,908
02/18/2015,66.82,67.0599,66.82,67.04,1423
02/19/2015,66.784,67.1,66.784,67.04,2457
02/20/2015,66.88,67.1972,66.41,67.07,2599
02/23/2015,67.15,67.15,67.15,67.15,367
02/24/2015,67.45,67.45,67.42,67.42,751
02/25/2015,67.19,67.42,67.19,67.34,5579
02/26/2015,67.3,67.3,67.04,67.04,7557
02/27/2015,67.267,67.267,66.97,67.04,15209
03/02/2015,67.12,67.4,67.1,67.4,1056
03/03/2015,66.92,66.99,66.78,66.94,8054
03/04/2015,66.75,66.75,66.6774,66.71,693
03/05/2015,67.04,67.04,66.759,66.8099,1371
03/06/2015,66.7,66.7,65.75,65.76,6907
03/09/2015,66.23,66.2892,66.17,66.18,149216
03/10/2015,65.83,65.83,65.06,65.06,3639
03/11/2015,65.138,65.138,65.078,65.078,2558
03/12/2015,65.25,65.634,65.25,65.618,1361
03/13/2015,65.65,65.65,65.1,65.43,11490
03/16/2015,65.89,66.2,65.89,66.19,2327
03/17/2015,66.02,66.13,65.85,66.07,3531
03/18/2015,65.74,66.8,65.74,66.8,706
03/19/2015,66.6,66.6,66.34,66.3876,14609
03/20/2015,67.018,67.233,67.01,67.233,4078
03/23/2015,67.01,67.1,67.01,67.1,1777
03/24/2015,66.8978,67.039,66.62,66.62,2549
03/25/2015,66.18,66.18,65.566,65.566,1423
03/26/2015,65.3599,65.3599,65.18,65.3,8228
03/27/2015,65.114,65.274,65.09,65.2287,1075
03/30/2015,65.86,66.13,65.86,66.1,8363
04/01/2015,65.77,65.77,65.29,65.57,17614
04/02/2015,65.792,65.792,65.628,65.628,821
04/06/2015,65.32,66.36,65.32,66.26,1436
04/07/2015,66.32,66.41,65.97,65.97,3980
04/08/2015,66.1,66.1,65.97,66.02,10717
04/09/2015,66.19,66.2798,66.17,66.2798,1602
04/10/2015,66.34,66.69,66.34,66.678,1131
04/13/2015,66.911,66.911,66.6018,66.6316,2271
